PRODUCTION NAMING REPORT

sources/TextAR-Light.ufo

---------------------------------------------------
Production names set:

    CODEPOINT : WORKING NAME                    → PROD NAME

            0 : NUL                             → uni0000
          160 : uni00A0                         → uni00A0
          171 : guillemetleft                   → guillemotleft
          178 : two.sup                         → uni00B2
          179 : three.sup                       → uni00B3
          185 : one.sup                         → uni00B9
          187 : guillemetright                  → guillemotright
          768 : gravecmb                        → gravecomb
          769 : acutecmb                        → acutecomb
          770 : circumflexcmb                   → uni0302
          771 : tildecmb                        → tildecomb
          776 : dieresiscmb                     → uni0308
          778 : ringcmb                         → uni030A
          780 : caroncmb                        → uni030C
         1548 : comma-ar                        → uni060C
         1557 : tahabove-ar                     → uni0615
         1563 : semicolon-ar                    → uni061B
         1567 : question-ar                     → uni061F
         1569 : hamza-ar                        → uni0621
         1570 : alefMadda-ar                    → uni0622
         1571 : alefHamzaabove-ar               → uni0623
         1572 : wawHamzaabove-ar                → uni0624
         1573 : alefHamzabelow-ar               → uni0625
         1574 : yehHamzaabove-ar                → uni0626
         1575 : alef-ar                         → uni0627
         1576 : beh-ar                          → uni0628
         1577 : tehMarbuta-ar                   → uni0629
         1578 : teh-ar                          → uni062A
         1579 : theh-ar                         → uni062B
         1580 : jeem-ar                         → uni062C
         1581 : hah-ar                          → uni062D
         1582 : khah-ar                         → uni062E
         1583 : dal-ar                          → uni062F
         1584 : thal-ar                         → uni0630
         1585 : reh-ar                          → uni0631
         1586 : zain-ar                         → uni0632
         1587 : seen-ar                         → uni0633
         1588 : sheen-ar                        → uni0634
         1589 : sad-ar                          → uni0635
         1590 : dad-ar                          → uni0636
         1591 : tah-ar                          → uni0637
         1592 : zah-ar                          → uni0638
         1593 : ain-ar                          → uni0639
         1594 : ghain-ar                        → uni063A
         1600 : kashida-ar                      → uni0640
         1601 : feh-ar                          → uni0641
         1602 : qaf-ar                          → uni0642
         1603 : kaf-ar                          → uni0643
         1604 : lam-ar                          → uni0644
         1605 : meem-ar                         → uni0645
         1606 : noon-ar                         → uni0646
         1607 : heh-ar                          → uni0647
         1608 : waw-ar                          → uni0648
         1609 : alefMaksura-ar                  → uni0649
         1610 : yeh-ar                          → uni064A
         1611 : fathatan-ar                     → uni064B
         1612 : dammatan-ar                     → uni064C
         1613 : kasratan-ar                     → uni064D
         1614 : fatha-ar                        → uni064E
         1615 : damma-ar                        → uni064F
         1616 : kasra-ar                        → uni0650
         1617 : shadda-ar                       → uni0651
         1618 : sukun-ar                        → uni0652
         1619 : madda-ar                        → uni0653
         1620 : hamzaabove-ar                   → uni0654
         1621 : hamzabelow-ar                   → uni0655
         1622 : alefbelow-ar                    → uni0656
         1624 : noonghunnaabove-ar              → uni0658
         1632 : zero-ar                         → uni0660
         1633 : one-ar                          → uni0661
         1634 : two-ar                          → uni0662
         1635 : three-ar                        → uni0663
         1636 : four-ar                         → uni0664
         1637 : five-ar                         → uni0665
         1638 : six-ar                          → uni0666
         1639 : seven-ar                        → uni0667
         1640 : eight-ar                        → uni0668
         1641 : nine-ar                         → uni0669
         1642 : percent-ar                      → uni066A
         1645 : asterisk-ar                     → uni066D
         1646 : behDotless-ar                   → uni066E
         1647 : qafDotless-ar                   → uni066F
         1648 : alefabove-ar                    → uni0670
         1649 : alefWasla-ar                    → uni0671
         1657 : tteh-ar                         → uni0679
         1662 : peh-ar                          → uni067E
         1670 : tcheh-ar                        → uni0686
         1672 : ddal-ar                         → uni0688
         1681 : rreh-ar                         → uni0691
         1688 : jeh-ar                          → uni0698
         1697 : fehDotless-ar                   → uni06A1
         1700 : veh-ar                          → uni06A4
         1705 : keheh-ar                        → uni06A9
         1711 : gaf-ar                          → uni06AF
         1722 : noonghunna-ar                   → uni06BA
         1726 : hehDoachashmee-ar               → uni06BE
         1729 : hehgoal-ar                      → uni06C1
         1730 : hehgoalHamzaabove-ar            → uni06C2
         1731 : tehMarbutagoal-ar               → uni06C3
         1740 : yeh-farsi                       → uni06CC
         1746 : yehbarree-ar                    → uni06D2
         1747 : yehbarreeHamzaabove-ar          → uni06D3
         1748 : fullstop-ar                     → uni06D4
         1776 : zero-persian                    → uni06F0
         1777 : one-persian                     → uni06F1
         1778 : two-persian                     → uni06F2
         1779 : three-persian                   → uni06F3
         1780 : four-persian                    → uni06F4
         1781 : five-persian                    → uni06F5
         1782 : six-persian                     → uni06F6
         1783 : seven-persian                   → uni06F7
         1784 : eight-persian                   → uni06F8
         1785 : nine-persian                    → uni06F9
         3647 : bahtthai                        → uni0E3F
         7838 : uni1E9E                         → uni1E9E
         8194 : enspace                         → uni2002
         8195 : emspace                         → uni2003
         8196 : thirdemspace                    → uni2004
         8197 : quarteremspace                  → uni2005
         8199 : figurespace                     → uni2007
         8201 : thinspace                       → uni2009
         8202 : hairspace                       → uni200A
         8229 : twodotleader                    → twodotenleader
         8239 : uni202F                         → uni202F
         8308 : four.sup                        → uni2074
         8358 : naira                           → uni20A6
         8361 : won                             → uni20A9
         8362 : sheqel                          → uni20AA
         8369 : peso                            → uni20B1
         8372 : hryvnia                         → uni20B4
         8376 : tenge                           → uni20B8
         8377 : uni20B9                         → uni20B9
         8378 : uni20BA                         → uni20BA
         8381 : uni20BD                         → uni20BD
         8480 : servicemark                     → uni2120
        64257 : fi                              → uniFB01
        64258 : fl                              → uniFB02
        64337 : alefWasla-ar.fina               → uniFB51
        64343 : peh-ar.fina                     → uniFB57
        64344 : peh-ar.init                     → uniFB58
        64345 : peh-ar.medi                     → uniFB59
        64359 : tteh-ar.fina                    → uniFB67
        64360 : tteh-ar.init                    → uniFB68
        64361 : tteh-ar.medi                    → uniFB69
        64363 : veh-ar.fina                     → uniFB6B
        64364 : veh-ar.init                     → uniFB6C
        64365 : veh-ar.medi                     → uniFB6D
        64379 : tcheh-ar.fina                   → uniFB7B
        64380 : tcheh-ar.init                   → uniFB7C
        64381 : tcheh-ar.medi                   → uniFB7D
        64393 : ddal-ar.fina                    → uniFB89
        64395 : jeh-ar.fina                     → uniFB8B
        64397 : rreh-ar.fina                    → uniFB8D
        64399 : keheh-ar.fina                   → uniFB8F
        64400 : keheh-ar.init                   → uniFB90
        64401 : keheh-ar.medi                   → uniFB91
        64403 : gaf-ar.fina                     → uniFB93
        64404 : gaf-ar.init                     → uniFB94
        64405 : gaf-ar.medi                     → uniFB95
        64415 : noonghunna-ar.fina              → uniFB9F
        64423 : hehgoal-ar.fina                 → uniFBA7
        64424 : hehgoal-ar.init                 → uniFBA8
        64425 : hehgoal-ar.medi                 → uniFBA9
        64427 : hehDoachashmee-ar.fina          → uniFBAB
